"Tabela 6694 - Indicador 3.1.1 - Razão de Mortalidade Materna"
"Brasil, Grande Região e Unidade da Federação";"Ano";"Variável";""
"Tocantins";"2021";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"43"
"Tocantins";"2021";"Número de nascidos vivos de mães residentes (Pessoas)";"23747"
"Tocantins";"2022";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"102,0"
"Tocantins";"2022";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"20"
"Tocantins";"2022";"Número de nascidos vivos de mães residentes (Pessoas)";"22549"
"Tocantins";"2023";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"82,1"
"Tocantins";"2023";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"14"
"Tocantins";"2023";"Número de nascidos vivos de mães residentes (Pessoas)";"23145"
"Maranhão";"2009";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"109,7"
"Maranhão";"2009";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"104"
"Maranhão";"2009";"Número de nascidos vivos de mães residentes (Pessoas)";"123635"
"Maranhão";"2010";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"133,7"
"Maranhão";"2010";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"123"
"Maranhão";"2010";"Número de nascidos vivos de mães residentes (Pessoas)";"119566"
"Maranhão";"2011";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"109,8"
"Maranhão";"2011";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"105"
"Maranhão";"2011";"Número de nascidos vivos de mães residentes (Pessoas)";"121109"
"Maranhão";"2012";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"96,1"
"Maranhão";"2012";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"84"
"Maranhão";"2012";"Número de nascidos vivos de mães residentes (Pessoas)";"116039"
"Maranhão";"2013";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"123,8"
"Maranhão";"2013";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"111"
"Maranhão";"2013";"Número de nascidos vivos de mães residentes (Pessoas)";"115000"
"Maranhão";"2014";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"100,9"
"Maranhão";"2014";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"93"
"Maranhão";"2014";"Número de nascidos vivos de mães residentes (Pessoas)";"117071"
"Maranhão";"2015";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"116,5"
"Maranhão";"2015";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"117"
"Maranhão";"2015";"Número de nascidos vivos de mães residentes (Pessoas)";"117564"
"Maranhão";"2016";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"122,2"
"Maranhão";"2016";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"110"
"Maranhão";"2016";"Número de nascidos vivos de mães residentes (Pessoas)";"110493"
"Maranhão";"2017";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"101,8"
"Maranhão";"2017";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"97"
"Maranhão";"2017";"Número de nascidos vivos de mães residentes (Pessoas)";"112985"
"Maranhão";"2018";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"90,6"
"Maranhão";"2018";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"92"
"Maranhão";"2018";"Número de nascidos vivos de mães residentes (Pessoas)";"117156"
"Maranhão";"2019";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"80,6"
"Maranhão";"2019";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"85"
"Maranhão";"2019";"Número de nascidos vivos de mães residentes (Pessoas)";"113317"
"Maranhão";"2020";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"108,9"
"Maranhão";"2020";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"100"
"Maranhão";"2020";"Número de nascidos vivos de mães residentes (Pessoas)";"106079"
"Maranhão";"2021";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"158,3"
"Maranhão";"2021";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"146"
"Maranhão";"2021";"Número de nascidos vivos de mães residentes (Pessoas)";"108667"
"Maranhão";"2022";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"91,9"
"Maranhão";"2022";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"76"
"Maranhão";"2022";"Número de nascidos vivos de mães residentes (Pessoas)";"97964"
"Maranhão";"2023";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"97,7"
"Maranhão";"2023";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"84"
"Maranhão";"2023";"Número de nascidos vivos de mães residentes (Pessoas)";"97205"
"Piauí";"2009";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"100,1"
"Piauí";"2009";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"44"
"Piauí";"2009";"Número de nascidos vivos de mães residentes (Pessoas)";"50996"
"Piauí";"2010";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"125,0"
"Piauí";"2010";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"47"
"Piauí";"2010";"Número de nascidos vivos de mães residentes (Pessoas)";"49424"
"Piauí";"2011";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"107,1"
"Piauí";"2011";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"45"
"Piauí";"2011";"Número de nascidos vivos de mães residentes (Pessoas)";"50144"
"Piauí";"2012";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"126,0"
"Piauí";"2012";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"48"
"Piauí";"2012";"Número de nascidos vivos de mães residentes (Pessoas)";"47962"
"Piauí";"2013";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"130,2"
"Piauí";"2013";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"44"
"Piauí";"2013";"Número de nascidos vivos de mães residentes (Pessoas)";"46419"
"Piauí";"2014";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"86,8"
"Piauí";"2014";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"33"
"Piauí";"2014";"Número de nascidos vivos de mães residentes (Pessoas)";"47941"
"Piauí";"2015";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"103,6"
"Piauí";"2015";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"41"
"Piauí";"2015";"Número de nascidos vivos de mães residentes (Pessoas)";"49253"
"Piauí";"2016";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"108,5"
"Piauí";"2016";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"38"
"Piauí";"2016";"Número de nascidos vivos de mães residentes (Pessoas)";"46986"
"Piauí";"2017";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"88,6"
"Piauí";"2017";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"35"
"Piauí";"2017";"Número de nascidos vivos de mães residentes (Pessoas)";"48551"
"Piauí";"2018";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"105,8"
"Piauí";"2018";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"42"
"Piauí";"2018";"Número de nascidos vivos de mães residentes (Pessoas)";"49490"
"Piauí";"2019";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"98,1"
"Piauí";"2019";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"41"
"Piauí";"2019";"Número de nascidos vivos de mães residentes (Pessoas)";"47933"
"Piauí";"2020";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"101,0"
"Piauí";"2020";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"40"
"Piauí";"2020";"Número de nascidos vivos de mães residentes (Pessoas)";"45229"
"Piauí";"2021";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"160,9"
"Piauí";"2021";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"59"
"Piauí";"2021";"Número de nascidos vivos de mães residentes (Pessoas)";"45978"
"Piauí";"2022";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"108,9"
"Piauí";"2022";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"37"
"Piauí";"2022";"Número de nascidos vivos de mães residentes (Pessoas)";"42247"
"Piauí";"2023";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"59,3"
"Piauí";"2023";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"23"
"Piauí";"2023";"Número de nascidos vivos de mães residentes (Pessoas)";"42144"
"Ceará";"2009";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"66,2"
"Ceará";"2009";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"87"
"Ceará";"2009";"Número de nascidos vivos de mães residentes (Pessoas)";"131393"
"Ceará";"2010";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"70,6"
"Ceará";"2010";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"91"
"Ceará";"2010";"Número de nascidos vivos de mães residentes (Pessoas)";"128831"
"Ceará";"2011";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"68,4"
"Ceará";"2011";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"88"
"Ceará";"2011";"Número de nascidos vivos de mães residentes (Pessoas)";"128592"
"Ceará";"2012";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"69,4"
"Ceará";"2012";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"88"
"Ceará";"2012";"Número de nascidos vivos de mães residentes (Pessoas)";"126868"
"Ceará";"2013";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"74,5"
"Ceará";"2013";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"93"
"Ceará";"2013";"Número de nascidos vivos de mães residentes (Pessoas)";"124876"
"Ceará";"2014";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"65,3"
"Ceará";"2014";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"84"
"Ceará";"2014";"Número de nascidos vivos de mães residentes (Pessoas)";"128681"
"Ceará";"2015";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"49,1"
"Ceará";"2015";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"65"
"Ceará";"2015";"Número de nascidos vivos de mães residentes (Pessoas)";"132516"
"Ceará";"2016";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"63,4"
"Ceará";"2016";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"74"
"Ceará";"2016";"Número de nascidos vivos de mães residentes (Pessoas)";"126246"
"Ceará";"2017";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"65,7"
"Ceará";"2017";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"84"
"Ceará";"2017";"Número de nascidos vivos de mães residentes (Pessoas)";"127797"
"Ceará";"2018";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"68,4"
"Ceará";"2018";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"90"
"Ceará";"2018";"Número de nascidos vivos de mães residentes (Pessoas)";"131491"
"Ceará";"2019";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"58,1"
"Ceará";"2019";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"75"
"Ceará";"2019";"Número de nascidos vivos de mães residentes (Pessoas)";"129185"
"Ceará";"2020";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"97,6"
"Ceará";"2020";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"119"
"Ceará";"2020";"Número de nascidos vivos de mães residentes (Pessoas)";"121904"
"Ceará";"2021";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"107,3"
"Ceará";"2021";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"129"
"Ceará";"2021";"Número de nascidos vivos de mães residentes (Pessoas)";"120266"
"Ceará";"2022";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"56,1"
"Ceará";"2022";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"63"
"Ceará";"2022";"Número de nascidos vivos de mães residentes (Pessoas)";"112308"
"Ceará";"2023";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"45,9"
"Ceará";"2023";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"51"
"Ceará";"2023";"Número de nascidos vivos de mães residentes (Pessoas)";"111091"
"Rio Grande do Norte";"2009";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"63,1"
"Rio Grande do Norte";"2009";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"25"
"Rio Grande do Norte";"2009";"Número de nascidos vivos de mães residentes (Pessoas)";"48931"
"Rio Grande do Norte";"2010";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"36,6"
"Rio Grande do Norte";"2010";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"16"
"Rio Grande do Norte";"2010";"Número de nascidos vivos de mães residentes (Pessoas)";"47668"
"Rio Grande do Norte";"2011";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"68,6"
"Rio Grande do Norte";"2011";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"33"
"Rio Grande do Norte";"2011";"Número de nascidos vivos de mães residentes (Pessoas)";"48101"
"Rio Grande do Norte";"2012";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"66,0"
"Rio Grande do Norte";"2012";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"31"
"Rio Grande do Norte";"2012";"Número de nascidos vivos de mães residentes (Pessoas)";"46993"
"Rio Grande do Norte";"2013";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"54,5"
"Rio Grande do Norte";"2013";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"22"
"Rio Grande do Norte";"2013";"Número de nascidos vivos de mães residentes (Pessoas)";"46798"
"Rio Grande do Norte";"2014";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"74,8"
"Rio Grande do Norte";"2014";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"36"
"Rio Grande do Norte";"2014";"Número de nascidos vivos de mães residentes (Pessoas)";"48111"
"Rio Grande do Norte";"2015";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"68,4"
"Rio Grande do Norte";"2015";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"30"
"Rio Grande do Norte";"2015";"Número de nascidos vivos de mães residentes (Pessoas)";"49099"
"Rio Grande do Norte";"2016";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"77,2"
"Rio Grande do Norte";"2016";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"31"
"Rio Grande do Norte";"2016";"Número de nascidos vivos de mães residentes (Pessoas)";"45366"
"Rio Grande do Norte";"2017";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"77,9"
"Rio Grande do Norte";"2017";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"35"
"Rio Grande do Norte";"2017";"Número de nascidos vivos de mães residentes (Pessoas)";"46222"
"Rio Grande do Norte";"2018";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"58,6"
"Rio Grande do Norte";"2018";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"25"
"Rio Grande do Norte";"2018";"Número de nascidos vivos de mães residentes (Pessoas)";"48107"
"Rio Grande do Norte";"2019";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"70,4"
"Rio Grande do Norte";"2019";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"31"
"Rio Grande do Norte";"2019";"Número de nascidos vivos de mães residentes (Pessoas)";"44031"
"Rio Grande do Norte";"2020";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"78,1"
"Rio Grande do Norte";"2020";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"34"
"Rio Grande do Norte";"2020";"Número de nascidos vivos de mães residentes (Pessoas)";"43531"
"Rio Grande do Norte";"2021";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"149,7"
"Rio Grande do Norte";"2021";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"65"
"Rio Grande do Norte";"2021";"Número de nascidos vivos de mães residentes (Pessoas)";"43430"
"Rio Grande do Norte";"2022";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"79,9"
"Rio Grande do Norte";"2022";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"27"
"Rio Grande do Norte";"2022";"Número de nascidos vivos de mães residentes (Pessoas)";"40037"
"Rio Grande do Norte";"2023";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"55,8"
"Rio Grande do Norte";"2023";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"22"
"Rio Grande do Norte";"2023";"Número de nascidos vivos de mães residentes (Pessoas)";"39440"
"Paraíba";"2009";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"64,9"
"Paraíba";"2009";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"33"
"Paraíba";"2009";"Número de nascidos vivos de mães residentes (Pessoas)";"60021"
"Paraíba";"2010";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"61,8"
"Paraíba";"2010";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"29"
"Paraíba";"2010";"Número de nascidos vivos de mães residentes (Pessoas)";"58699"
"Paraíba";"2011";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"61,7"
"Paraíba";"2011";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"31"
"Paraíba";"2011";"Número de nascidos vivos de mães residentes (Pessoas)";"58741"
"Paraíba";"2012";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"61,5"
"Paraíba";"2012";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"27"
"Paraíba";"2012";"Número de nascidos vivos de mães residentes (Pessoas)";"56770"
"Paraíba";"2013";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"70,9"
"Paraíba";"2013";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"40"
"Paraíba";"2013";"Número de nascidos vivos de mães residentes (Pessoas)";"56854"
"Paraíba";"2014";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"63,0"
"Paraíba";"2014";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"31"
"Paraíba";"2014";"Número de nascidos vivos de mães residentes (Pessoas)";"57535"
"Paraíba";"2015";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"81,8"
"Paraíba";"2015";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"38"
"Paraíba";"2015";"Número de nascidos vivos de mães residentes (Pessoas)";"59089"
"Paraíba";"2016";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"99,9"
"Paraíba";"2016";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"49"
"Paraíba";"2016";"Número de nascidos vivos de mães residentes (Pessoas)";"56083"
"Paraíba";"2017";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"67,8"
"Paraíba";"2017";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"36"
"Paraíba";"2017";"Número de nascidos vivos de mães residentes (Pessoas)";"57493"
"Paraíba";"2018";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"53,2"
"Paraíba";"2018";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"32"
"Paraíba";"2018";"Número de nascidos vivos de mães residentes (Pessoas)";"60205"
"Paraíba";"2019";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"62,8"
"Paraíba";"2019";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"36"
"Paraíba";"2019";"Número de nascidos vivos de mães residentes (Pessoas)";"57701"
"Paraíba";"2020";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"97,7"
"Paraíba";"2020";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"54"
"Paraíba";"2020";"Número de nascidos vivos de mães residentes (Pessoas)";"56379"
"Paraíba";"2021";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"126,7"
"Paraíba";"2021";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"71"
"Paraíba";"2021";"Número de nascidos vivos de mães residentes (Pessoas)";"56049"
"Paraíba";"2022";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"47,2"
"Paraíba";"2022";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"23"
"Paraíba";"2022";"Número de nascidos vivos de mães residentes (Pessoas)";"50892"
"Paraíba";"2023";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"56,3"
"Paraíba";"2023";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"29"
"Paraíba";"2023";"Número de nascidos vivos de mães residentes (Pessoas)";"51531"
"Pernambuco";"2009";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"62,1"
"Pernambuco";"2009";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"88"
"Pernambuco";"2009";"Número de nascidos vivos de mães residentes (Pessoas)";"141815"
"Pernambuco";"2010";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"61,9"
"Pernambuco";"2010";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"76"
"Pernambuco";"2010";"Número de nascidos vivos de mães residentes (Pessoas)";"136591"
"Pernambuco";"2011";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"57,5"
"Pernambuco";"2011";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"79"
"Pernambuco";"2011";"Número de nascidos vivos de mães residentes (Pessoas)";"140079"
"Pernambuco";"2012";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"56,0"
"Pernambuco";"2012";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"73"
"Pernambuco";"2012";"Número de nascidos vivos de mães residentes (Pessoas)";"141382"
"Pernambuco";"2013";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"64,3"
"Pernambuco";"2013";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"91"
"Pernambuco";"2013";"Número de nascidos vivos de mães residentes (Pessoas)";"141453"
"Pernambuco";"2014";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"63,4"
"Pernambuco";"2014";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"91"
"Pernambuco";"2014";"Número de nascidos vivos de mães residentes (Pessoas)";"143489"
"Pernambuco";"2015";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"67,6"
"Pernambuco";"2015";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"98"
"Pernambuco";"2015";"Número de nascidos vivos de mães residentes (Pessoas)";"145024"
"Pernambuco";"2016";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"58,1"
"Pernambuco";"2016";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"71"
"Pernambuco";"2016";"Número de nascidos vivos de mães residentes (Pessoas)";"130733"
"Pernambuco";"2017";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"63,3"
"Pernambuco";"2017";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"84"
"Pernambuco";"2017";"Número de nascidos vivos de mães residentes (Pessoas)";"135932"
"Pernambuco";"2018";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"59,2"
"Pernambuco";"2018";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"80"
"Pernambuco";"2018";"Número de nascidos vivos de mães residentes (Pessoas)";"138317"
"Pernambuco";"2019";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"48,0"
"Pernambuco";"2019";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"64"
"Pernambuco";"2019";"Número de nascidos vivos de mães residentes (Pessoas)";"133359"
"Pernambuco";"2020";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"70,8"
"Pernambuco";"2020";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"91"
"Pernambuco";"2020";"Número de nascidos vivos de mães residentes (Pessoas)";"128481"
"Pernambuco";"2021";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"73,7"
"Pernambuco";"2021";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"93"
"Pernambuco";"2021";"Número de nascidos vivos de mães residentes (Pessoas)";"126211"
"Pernambuco";"2022";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"46,0"
"Pernambuco";"2022";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"54"
"Pernambuco";"2022";"Número de nascidos vivos de mães residentes (Pessoas)";"117437"
"Pernambuco";"2023";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"61,1"
"Pernambuco";"2023";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"62"
"Pernambuco";"2023";"Número de nascidos vivos de mães residentes (Pessoas)";"116175"
"Alagoas";"2009";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"34,3"
"Alagoas";"2009";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"19"
"Alagoas";"2009";"Número de nascidos vivos de mães residentes (Pessoas)";"55471"
"Alagoas";"2010";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"74,4"
"Alagoas";"2010";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"32"
"Alagoas";"2010";"Número de nascidos vivos de mães residentes (Pessoas)";"54164"
