"Tabela 6694 - Indicador 3.1.1 - Razão de Mortalidade Materna"
"Brasil, Grande Região e Unidade da Federação";"Ano";"Variável";""
"Nordeste";"2009";"Número de nascidos vivos de mães residentes (Pessoas)";"865098"
"Nordeste";"2010";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"83,3"
"Nordeste";"2010";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"598"
"Nordeste";"2010";"Número de nascidos vivos de mães residentes (Pessoas)";"841160"
"Nordeste";"2011";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"77,9"
"Nordeste";"2011";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"587"
"Nordeste";"2011";"Número de nascidos vivos de mães residentes (Pessoas)";"851004"
"Nordeste";"2012";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"72,7"
"Nordeste";"2012";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"546"
"Nordeste";"2012";"Número de nascidos vivos de mães residentes (Pessoas)";"832631"
"Nordeste";"2013";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"82,4"
"Nordeste";"2013";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"617"
"Nordeste";"2013";"Número de nascidos vivos de mães residentes (Pessoas)";"821458"
"Nordeste";"2014";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"77,9"
"Nordeste";"2014";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"594"
"Nordeste";"2014";"Número de nascidos vivos de mães residentes (Pessoas)";"833090"
"Nordeste";"2015";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"75,3"
"Nordeste";"2015";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"580"
"Nordeste";"2015";"Número de nascidos vivos de mães residentes (Pessoas)";"846374"
"Nordeste";"2016";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"78,0"
"Nordeste";"2016";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"538"
"Nordeste";"2016";"Número de nascidos vivos de mães residentes (Pessoas)";"796119"
"Nordeste";"2017";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"73,2"
"Nordeste";"2017";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"538"
"Nordeste";"2017";"Número de nascidos vivos de mães residentes (Pessoas)";"817311"
"Nordeste";"2018";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"67,1"
"Nordeste";"2018";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"525"
"Nordeste";"2018";"Número de nascidos vivos de mães residentes (Pessoas)";"836850"
"Nordeste";"2019";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"63,6"
"Nordeste";"2019";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"478"
"Nordeste";"2019";"Número de nascidos vivos de mães residentes (Pessoas)";"805275"
"Nordeste";"2020";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"91,8"
"Nordeste";"2020";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"662"
"Nordeste";"2020";"Número de nascidos vivos de mães residentes (Pessoas)";"770688"
"Nordeste";"2021";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"115,0"
"Nordeste";"2021";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"838"
"Nordeste";"2021";"Número de nascidos vivos de mães residentes (Pessoas)";"766074"
"Nordeste";"2022";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"67,3"
"Nordeste";"2022";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"430"
"Nordeste";"2022";"Número de nascidos vivos de mães residentes (Pessoas)";"708975"
"Nordeste";"2023";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"63,7"
"Nordeste";"2023";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"413"
"Nordeste";"2023";"Número de nascidos vivos de mães residentes (Pessoas)";"703448"
"Sudeste";"2009";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"64,4"
"Sudeste";"2009";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"695"
"Sudeste";"2009";"Número de nascidos vivos de mães residentes (Pessoas)";"1119231"
"Sudeste";"2010";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"56,0"
"Sudeste";"2010";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"604"
"Sudeste";"2010";"Número de nascidos vivos de mães residentes (Pessoas)";"1123593"
"Sudeste";"2011";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"48,7"
"Sudeste";"2011";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"540"
"Sudeste";"2011";"Número de nascidos vivos de mães residentes (Pessoas)";"1143741"
"Sudeste";"2012";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"46,5"
"Sudeste";"2012";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"529"
"Sudeste";"2012";"Número de nascidos vivos de mães residentes (Pessoas)";"1152846"
"Sudeste";"2013";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"50,1"
"Sudeste";"2013";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"569"
"Sudeste";"2013";"Número de nascidos vivos de mães residentes (Pessoas)";"1147627"
"Sudeste";"2014";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"53,9"
"Sudeste";"2014";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"610"
"Sudeste";"2014";"Número de nascidos vivos de mães residentes (Pessoas)";"1182949"
"Sudeste";"2015";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"54,3"
"Sudeste";"2015";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"631"
"Sudeste";"2015";"Número de nascidos vivos de mães residentes (Pessoas)";"1196232"
"Sudeste";"2016";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"55,8"
"Sudeste";"2016";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"605"
"Sudeste";"2016";"Número de nascidos vivos de mães residentes (Pessoas)";"1127499"
"Sudeste";"2017";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"62,3"
"Sudeste";"2017";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"670"
"Sudeste";"2017";"Número de nascidos vivos de mães residentes (Pessoas)";"1151832"
"Sudeste";"2018";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"53,2"
"Sudeste";"2018";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"606"
"Sudeste";"2018";"Número de nascidos vivos de mães residentes (Pessoas)";"1147006"
"Sudeste";"2019";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"53,5"
"Sudeste";"2019";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"582"
"Sudeste";"2019";"Número de nascidos vivos de mães residentes (Pessoas)";"1102997"
"Sudeste";"2020";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"65,1"
"Sudeste";"2020";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"685"
"Sudeste";"2020";"Número de nascidos vivos de mães residentes (Pessoas)";"1052399"
"Sudeste";"2021";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"104,8"
"Sudeste";"2021";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"1055"
"Sudeste";"2021";"Número de nascidos vivos de mães residentes (Pessoas)";"1009734"
"Sudeste";"2022";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"50,3"
"Sudeste";"2022";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"469"
"Sudeste";"2022";"Número de nascidos vivos de mães residentes (Pessoas)";"979681"
"Sudeste";"2023";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"48,0"
"Sudeste";"2023";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"457"
"Sudeste";"2023";"Número de nascidos vivos de mães residentes (Pessoas)";"966160"
"Sul";"2009";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"61,1"
"Sul";"2009";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"201"
"Sul";"2009";"Número de nascidos vivos de mães residentes (Pessoas)";"366358"
"Sul";"2010";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"62,8"
"Sul";"2010";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"193"
"Sul";"2010";"Número de nascidos vivos de mães residentes (Pessoas)";"369905"
"Sul";"2011";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"50,4"
"Sul";"2011";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"168"
"Sul";"2011";"Número de nascidos vivos de mães residentes (Pessoas)";"378093"
"Sul";"2012";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"54,5"
"Sul";"2012";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"183"
"Sul";"2012";"Número de nascidos vivos de mães residentes (Pessoas)";"381658"
"Sul";"2013";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"36,6"
"Sul";"2013";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"135"
"Sul";"2013";"Número de nascidos vivos de mães residentes (Pessoas)";"386983"
"Sul";"2014";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"41,7"
"Sul";"2014";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"149"
"Sul";"2014";"Número de nascidos vivos de mães residentes (Pessoas)";"396462"
"Sul";"2015";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"43,7"
"Sul";"2015";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"166"
"Sul";"2015";"Número de nascidos vivos de mães residentes (Pessoas)";"406529"
"Sul";"2016";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"44,2"
"Sul";"2016";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"157"
"Sul";"2016";"Número de nascidos vivos de mães residentes (Pessoas)";"391790"
"Sul";"2017";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"38,5"
"Sul";"2017";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"143"
"Sul";"2017";"Número de nascidos vivos de mães residentes (Pessoas)";"397604"
"Sul";"2018";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"38,2"
"Sul";"2018";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"146"
"Sul";"2018";"Número de nascidos vivos de mães residentes (Pessoas)";"395857"
"Sul";"2019";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"38,3"
"Sul";"2019";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"147"
"Sul";"2019";"Número de nascidos vivos de mães residentes (Pessoas)";"386097"
"Sul";"2020";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"45,6"
"Sul";"2020";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"162"
"Sul";"2020";"Número de nascidos vivos de mães residentes (Pessoas)";"374949"
"Sul";"2021";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"111,9"
"Sul";"2021";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"385"
"Sul";"2021";"Número de nascidos vivos de mães residentes (Pessoas)";"362921"
"Sul";"2022";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"40,0"
"Sul";"2022";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"135"
"Sul";"2022";"Número de nascidos vivos de mães residentes (Pessoas)";"359781"
"Sul";"2023";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"38,0"
"Sul";"2023";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"131"
"Sul";"2023";"Número de nascidos vivos de mães residentes (Pessoas)";"357612"
"Centro-Oeste";"2009";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"75,6"
"Centro-Oeste";"2009";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"136"
"Centro-Oeste";"2009";"Número de nascidos vivos de mães residentes (Pessoas)";"220168"
"Centro-Oeste";"2010";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"77,2"
"Centro-Oeste";"2010";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"132"
"Centro-Oeste";"2010";"Número de nascidos vivos de mães residentes (Pessoas)";"220788"
"Centro-Oeste";"2011";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"68,2"
"Centro-Oeste";"2011";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"119"
"Centro-Oeste";"2011";"Número de nascidos vivos de mães residentes (Pessoas)";"226577"
"Centro-Oeste";"2012";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"64,3"
"Centro-Oeste";"2012";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"132"
"Centro-Oeste";"2012";"Número de nascidos vivos de mães residentes (Pessoas)";"230279"
"Centro-Oeste";"2013";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"62,5"
"Centro-Oeste";"2013";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"133"
"Centro-Oeste";"2013";"Número de nascidos vivos de mães residentes (Pessoas)";"234687"
"Centro-Oeste";"2014";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"60,2"
"Centro-Oeste";"2014";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"133"
"Centro-Oeste";"2014";"Número de nascidos vivos de mães residentes (Pessoas)";"245076"
"Centro-Oeste";"2015";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"65,9"
"Centro-Oeste";"2015";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"147"
"Centro-Oeste";"2015";"Número de nascidos vivos de mães residentes (Pessoas)";"247609"
"Centro-Oeste";"2016";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"67,3"
"Centro-Oeste";"2016";"Número de óbitos de mulheres residentes por causas e condições consideradas de morte materna (Pessoas)";"147"
"Centro-Oeste";"2016";"Número de nascidos vivos de mães residentes (Pessoas)";"234866"
"Centro-Oeste";"2017";"Razão de mortalidade materna (Óbitos por 100 mil nascidos vivos)";"56,9"
